id_reservation,stays_in_week_nights,stays_in_weekend_nights,adults,children,babies,required_car_parking_spaces,meal,reserved_room_type,total_of_special_requests
1,0,0,2,0.0,0,0,BB,C,0
2,0,0,2,0.0,0,0,BB,C,0
3,1,0,1,0.0,0,0,BB,A,0
4,1,0,1,0.0,0,0,BB,A,0
5,2,0,2,0.0,0,0,BB,A,1
6,2,0,2,0.0,0,0,BB,A,1
7,2,0,2,0.0,0,0,BB,C,0
8,2,0,2,0.0,0,0,FB,C,1
9,3,0,2,0.0,0,0,BB,A,1
10,3,0,2,0.0,0,0,HB,D,0
11,4,0,2,0.0,0,0,BB,E,0
12,4,0,2,0.0,0,0,HB,D,0
13,4,0,2,0.0,0,0,BB,D,3
14,4,0,2,1.0,0,0,HB,G,1
15,4,0,2,0.0,0,0,BB,E,0
16,4,0,2,0.0,0,0,BB,D,3
17,4,0,2,0.0,0,0,BB,E,0
18,1,0,2,0.0,0,0,BB,A,0
19,1,0,2,0.0,0,0,BB,A,0
20,4,0,2,0.0,0,0,BB,G,1
21,4,1,1,0.0,0,0,BB,F,1
22,4,2,2,0.0,0,0,BB,A,1
23,4,2,2,0.0,0,0,BB,A,1
24,4,2,2,0.0,0,0,BB,D,1
25,5,2,2,0.0,0,0,HB,D,1
26,5,2,2,0.0,0,1,BB,D,0
27,5,2,2,0.0,0,0,BB,D,0
28,5,2,2,0.0,0,0,BB,E,2
29,5,2,2,0.0,0,0,BB,A,0
30,5,2,2,0.0,0,1,BB,D,1
31,10,4,1,0.0,0,0,BB,A,2
32,11,4,2,0.0,0,0,BB,D,0
33,8,2,2,0.0,0,0,BB,E,2
34,4,2,2,0.0,0,0,BB,A,0
35,3,1,3,0.0,0,0,BB,D,1
36,3,1,3,0.0,0,0,BB,D,1
37,3,1,2,0.0,0,0,BB,A,0
38,3,1,3,0.0,0,0,BB,D,1
39,3,1,3,0.0,0,0,BB,D,0
40,3,2,2,0.0,0,0,HB,E,1
41,3,2,2,0.0,0,0,BB,G,0
42,3,2,2,0.0,0,0,BB,D,0
43,3,2,2,0.0,0,0,BB,F,0
44,3,2,2,0.0,0,0,HB,E,1
45,5,2,2,0.0,0,0,BB,A,2
46,5,2,2,2.0,0,0,BB,G,0
47,5,2,2,0.0,0,0,BB,A,1
48,5,2,2,0.0,0,0,BB,E,2
49,5,2,2,0.0,0,0,HB,A,0
50,5,2,2,0.0,0,0,HB,E,1
51,5,2,2,0.0,0,0,BB,D,2
52,8,3,2,0.0,0,0,BB,A,0
53,10,4,2,0.0,0,0,BB,D,0
54,1,0,2,0.0,0,1,BB,A,0
55,1,0,2,0.0,0,1,BB,H,0
56,1,0,2,2.0,0,1,BB,C,2
57,1,0,2,0.0,0,0,BB,H,0
58,1,0,2,0.0,0,0,BB,A,2
59,1,0,2,0.0,0,0,BB,G,0
60,2,0,2,0.0,0,0,BB,A,1
61,2,0,2,0.0,0,0,BB,G,0
62,2,0,2,0.0,0,1,BB,E,2
63,3,0,2,0.0,0,0,BB,F,1
64,3,0,2,0.0,0,0,BB,A,0
65,3,0,2,0.0,0,0,HB,A,2
66,2,0,2,2.0,0,1,BB,G,0
67,2,0,2,0.0,0,0,BB,A,0
68,2,0,2,0.0,0,0,BB,D,0
69,2,0,3,0.0,0,0,BB,A,2
70,2,0,2,0.0,0,0,BB,A,2
71,2,0,2,0.0,0,0,BB,D,1
72,2,0,2,0.0,0,0,BB,A,1
73,2,0,2,0.0,0,0,HB,A,0
74,2,0,2,0.0,0,0,BB,A,0
75,2,0,3,0.0,0,0,BB,A,0
76,2,1,2,0.0,0,1,BB,A,0
77,2,1,2,0.0,0,0,BB,E,0
